id,name,price,age,line,station_name,minutes,layout,area,address,url,lat,lon
75917403,オープンレジデンシア薬院白金,3590,3,地下鉄七隈線,薬院,8,1LDK,33.92,福岡県福岡市中央区白金２-1-24,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75917403/,,
75963392,ライオンズマンション浄水,1880,49,地下鉄七隈線,薬院大通,6,3DK,71.67,福岡県福岡市中央区御所ヶ谷,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75963392/,,
76206976,朝日プラザ天神,3180,40,地下鉄空港線,天神,4,ワンルーム,43.65,福岡県福岡市中央区舞鶴１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76206976/,,
76364232,ブリリアタワー西新,23800,5,地下鉄空港線,西新,1,3LDK,100.08,福岡県福岡市早良区西新４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76364232/,,
76431436,アーバンパレスアクス大濠Ⅱ,4890,27,地下鉄空港線,唐人町,5,3LDK,74.2,福岡県福岡市中央区荒戸３-3-15,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76431436/,,
76733602,天神スカイマンション,1400,45,地下鉄空港線,天神,10,1LDK,30.26,福岡県福岡市中央区長浜１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76733602/,,
76842988,アクタス大手門パークシティ,9980,21,地下鉄空港線,赤坂,7,3LDK,93.92,福岡県福岡市中央区大手門１-２－１８,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76842988/,,
76993707,サングレート平尾山荘,8000,8,地下鉄七隈線,薬院大通,15,2LDK,83.36,福岡県福岡市中央区平尾５,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76993707/,,
77201526,エンゼルハイム大濠公園南,3799,36,地下鉄七隈線,別府,4,3LDK,69.03,福岡県福岡市城南区鳥飼６,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_77201526/,,
77251778,トラスト福岡空港駅レジデンス,3790,2,地下鉄空港線,福岡空港,14,3LDK,65.55,福岡県糟屋郡志免町別府北４,https://suumo.jp//ms/chuko/fukuoka/sc_kasuyagunshime/nc_77251778/,,
77341516,グランドメゾン大濠公園ＴＨＥ　ＣＬＡＳＳ,14000,2,地下鉄空港線,大濠公園,4,3LDK,80.07,福岡県福岡市中央区荒戸２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77341516/,,
77357198,マンションアベニュー,2680,52,地下鉄空港線,西新,4,1LDK,44.57,福岡県福岡市早良区西新５,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77357198/,,
77529888,西公園ハウス,2450,40,地下鉄空港線,大濠公園,14,2LDK,71.7,福岡県福岡市中央区西公園11-10,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77529888/,,
77530800,皐月マンシヨン博多,890,47,地下鉄空港線,博多,6,ワンルーム,23.06,福岡県福岡市博多区博多駅前３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77530800/,,
77553274,オープンレジデンシア博多住吉,3980,3,地下鉄七隈線,櫛田神社前,6,1LDK,38.65,福岡県福岡市博多区住吉２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77553274/,,
77583529,グランドメゾン百道プレイス,10820,10,地下鉄空港線,藤崎,3,3LDK,90.65,福岡県福岡市早良区百道２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77583529/,,
77631768,コアマンション祖原公園,3980,27,地下鉄空港線,西新,15,2LDK,71.8,福岡県福岡市早良区昭代１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77631768/,,
77763961,オープンレジデンシア博多空港通り,3490,2,地下鉄空港線,博多,11,1LDK,34.38,福岡県福岡市博多区東光２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77763961/,,
77794350,ライオンズマンションマキシム桜坂II,4380,28,地下鉄七隈線,桜坂,5,3LDK,85.78,福岡県福岡市中央区谷１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77794350/,,
