name,price,age,line,station_name,minutes,layout,area,address,url
クリオ渡辺通アーバンマークス,5980,2,地下鉄七隈線,渡辺通,10,2LDK,62.45,福岡県福岡市中央区清川２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76961069/
ＭＪＲ桜坂プレシャス　中古マンション,6190,20,地下鉄七隈線,桜坂,3,3LDK,88.95,福岡県福岡市中央区桜坂１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76737473/
MJR桜坂プレシャス,6190,20,地下鉄七隈線,桜坂,3,3LDK,88.95,福岡県福岡市中央区桜坂１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76720658/
クリオ渡辺通サザンマークス,6480,1,地下鉄七隈線,渡辺通,15,3LDK,67.0,福岡県福岡市中央区清川３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76132933/
インプレスト天神オークタワー,6980,5,地下鉄空港線,赤坂,8,3LDK,75.23,福岡県福岡市中央区長浜２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76092283/
ザ・パークハウス赤坂タワーレジデンス,7300,6,地下鉄空港線,赤坂,7,2LDK,72.57,福岡県福岡市中央区長浜２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76973222/
アーバンパレスアクス大濠,7480,30,地下鉄空港線,唐人町,8,3LDK,96.31,福岡県福岡市中央区荒戸３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_72172682/
ライオンズマンション桜坂シティ,7580,20,地下鉄七隈線,桜坂,1,4LDK,100.53,福岡県福岡市中央区桜坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76882863/
レーベン福岡天神 ONE TOWER,7900,1,地下鉄空港線,天神,8,2LDK,70.89,福岡県福岡市中央区天神５,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75682342/
コアマンション桜坂プレジオヒルズ,8480,24,地下鉄七隈線,桜坂,1,4LDK,132.88,福岡県福岡市中央区桜坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76637785/
アダージュ薬院弐番館,11000,22,地下鉄七隈線,薬院大通,2,2LDK,91.96,福岡県福岡市中央区薬院２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76799826/
フリーディア高取1丁目,11500,2,地下鉄空港線,藤崎,4,3LDK,96.58,福岡県福岡市早良区高取１-28-12,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77082126/
グランドメゾン浄水ガーデンシティフォレストゲートII…,13800,7,地下鉄七隈線,薬院大通,6,4LDK,95.75,福岡県福岡市中央区薬院４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76554283/
コアマンションけやき通りプレジオ　1012号,16800,23,地下鉄七隈線,六本松,10,3LDK,150.4,福岡県福岡市中央区赤坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74070175/
レーベン福岡天神　ONE　TOWER,33333,1,地下鉄空港線,天神,8,3LDK+S（納戸）,142.99,福岡県福岡市中央区天神５,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77026674/
ザ・パークハウス福岡タワーズEAST,42000,5,地下鉄空港線,唐人町,12,3LDK,200.14,福岡県福岡市中央区地行浜２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75682341/
エステート・モア平尾山荘通り,690,31,地下鉄七隈線,薬院,15,1K,20.52,福岡県福岡市中央区平尾４-5-3,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77005706/
ライオンズマンション薬院第6,720,34,地下鉄七隈線,薬院大通,5,ワンルーム,20.85,福岡県福岡市中央区薬院４-4-25,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76970487/
ウイング藤崎,950,41,地下鉄空港線,藤崎,13,3DK,51.03,福岡県福岡市早良区弥生２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76980258/
ウイング藤崎,1280,41,地下鉄空港線,藤崎,14,2LDK,47.64,福岡県福岡市早良区弥生２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76982346/
日商岩井弥生マンション,1380,46,地下鉄空港線,藤崎,12,4LDK,87.49,福岡県福岡市早良区原１-41-1,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77117323/
東峰マンション博多駅東　　　　　　　　　　　　　　　…,1510,40,地下鉄空港線,東比恵,5,2DK,42.82,福岡県福岡市博多区比恵町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76271207/
東峰マンション博多駅東,1590,40,地下鉄空港線,東比恵,5,2DK,42.82,福岡県福岡市博多区比恵町7-27,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76414809/
クローバーハイツ六本松,1630,40,地下鉄七隈線,六本松,8,2LDK,54.71,福岡県福岡市中央区梅光園２-7-1,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75664352/
ニューライフ天神,1680,42,地下鉄空港線,天神,8,2DK,43.95,福岡県福岡市中央区天神４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77072117/
エバーライフ桜坂,1690,46,地下鉄七隈線,桜坂,5,1LDK,47.52,福岡県福岡市中央区桜坂３-1-1,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76437406/
福陵ハイデンス　　　　　　　　　　　　　　　　　　　…,1699,51,地下鉄空港線,藤崎,15,3LDK,63.25,福岡県福岡市早良区荒江２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76746087/
ライオンズマンション天神,1780,46,地下鉄空港線,赤坂,6,1LDK,43.5,福岡県福岡市中央区舞鶴１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76562172/
ライオンズマンション天神　　　　　　　　　　　　　　…,1780,46,地下鉄空港線,赤坂,3,1LDK,43.5,福岡県福岡市中央区舞鶴１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76715555/
ライオンズマンション天神,1780,46,地下鉄空港線,赤坂,5,1LDK,43.5,福岡県福岡市中央区舞鶴１-2-33,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76819226/
ライオンズマンション薬院◆☆上質なデザイン空間☆◆,1798,46,地下鉄七隈線,薬院,8,1LDK,40.87,福岡県福岡市中央区薬院３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76718389/
