name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age
シャルマンコーポ博多,680,福岡県福岡市博多区千代５,地下鉄箱崎線「中洲川端」徒歩20分,43.24,2DK,1974年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74988872/,中洲川端,地下鉄箱崎線,20,1974-10-01,50
ダイアパレス博多駅前,1150,福岡県福岡市博多区博多駅前４-31-3,地下鉄空港線「博多」徒歩10分,28.35,1DK,1985年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74964282/,博多,地下鉄空港線,10,1985-07-01,39
ライオンズマンション大濠西,1380,福岡県福岡市中央区鳥飼３-2-10,地下鉄空港線「西新」徒歩10分,44.79,2DK,1986年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74480218/,西新,地下鉄空港線,10,1986-01-01,38
十郎川サンハイツ,1390,福岡県福岡市西区十郎川団地,地下鉄空港線「姪浜」徒歩32分,84.97,3LDK,1982年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74906157/,姪浜,地下鉄空港線,32,1982-07-01,42
箱崎エクセル南22,1398,福岡県福岡市東区二又瀬新町,地下鉄空港線「福岡空港」徒歩33分,71.78,4LDK,1989年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihigashi/nc_74274905/,福岡空港,地下鉄空港線,33,1989-04-01,35
ロワールマンション荒江,1399,福岡県福岡市早良区荒江２-7-10,地下鉄空港線「西新」徒歩19分,67.71,3LDK,1982年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74768746/,西新,地下鉄空港線,19,1982-06-01,42
ライオンズマンション生の松原,1480,福岡県福岡市西区下山門４,ＪＲ筑肥線「姪浜」徒歩27分,60.59,3LDK,1990年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_75002590/,姪浜,ＪＲ筑肥線,27,1990-03-01,34
シャンボール藤崎,1480,福岡県福岡市早良区藤崎２-1-45,地下鉄空港線「藤崎」徒歩6分,48.8,2DK,1978年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74834330/,藤崎,地下鉄空港線,6,1978-03-01,46
ネオハイツ新室見,1490,福岡県福岡市西区福重４-14-22,ＪＲ筑肥線「姪浜」徒歩20分,53.76,3DK,1985年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74964055/,姪浜,ＪＲ筑肥線,20,1985-09-01,39
トピレック博多,1490,福岡県福岡市博多区博多駅南６,ＪＲ鹿児島本線「博多」徒歩22分,52.25,2LDK,1974年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74892270/,博多,ＪＲ鹿児島本線,22,1974-09-01,50
ネオハイツ新室見,1490,福岡県福岡市西区福重４,地下鉄空港線「姪浜」徒歩22分,53.76,3DK,1985年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74924752/,姪浜,地下鉄空港線,22,1985-09-01,39
原西団地,1490,福岡県福岡市早良区原３,地下鉄空港線「室見」徒歩23分,59.64,3LDK,1973年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75002352/,室見,地下鉄空港線,23,1973-03-01,51
ネオハイツ新室見,1490,福岡県福岡市西区福重４,地下鉄空港線「姪浜」徒歩20分,53.76,3DK,1985年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74822992/,姪浜,地下鉄空港線,20,1985-09-01,39
室見リバーコーポ,1498,福岡県福岡市早良区室見２,地下鉄空港線「藤崎」徒歩8分,55.6,3DK,1974年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74986829/,藤崎,地下鉄空港線,8,1974-03-01,50
エメラルドマンション東那珂,1500,福岡県福岡市博多区東那珂３-11-34,地下鉄空港線「東比恵」徒歩32分,58.02,2LDK,1984年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_72118716/,東比恵,地下鉄空港線,32,1984-03-01,40
エバーライフ博多駅南,1580,福岡県福岡市博多区半道橋１,地下鉄空港線「東比恵」徒歩20分,71.24,4DK,1986年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74534964/,東比恵,地下鉄空港線,20,1986-07-01,38
