name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age,id
エンゼルハイム鳥飼中央,4880,福岡県福岡市中央区鳥飼１,地下鉄七隈線「別府」徒歩14分,75.68,3LDK,2001年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21313059/,別府,地下鉄七隈線,14,2001-03-01,25,21313059
ソレイユ赤坂南,4898,福岡県福岡市中央区六本松３,地下鉄七隈線「桜坂」徒歩7分,75.03,3LDK,1989年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21285178/,桜坂,地下鉄七隈線,7,1989-10-01,37,21285178
ソレイユ赤坂南,4898,福岡県福岡市中央区六本松３,地下鉄七隈線「桜坂」徒歩7分,75.03,3LDK+S（納戸）,1989年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20785852/,桜坂,地下鉄七隈線,7,1989-10-01,37,20785852
オープンレジデンシア天神今泉,4900,福岡県福岡市中央区今泉２,地下鉄七隈線「薬院大通」徒歩6分,46.01,2LDK,2023年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79170354/,薬院大通,地下鉄七隈線,6,2023-09-01,3,79170354
グランコート高砂,4980,福岡県福岡市中央区高砂２,地下鉄七隈線「薬院」徒歩12分,64.23,3LDK,1996年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20743794/,薬院,地下鉄七隈線,12,1996-07-01,30,20743794
コモダス奈良屋,4980,福岡県福岡市博多区奈良屋町,地下鉄空港線「中洲川端」徒歩12分,56.3,2LDK,2001年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20902271/,中洲川端,地下鉄空港線,12,2001-10-01,25,20902271
ロイヤルマンションユトリテ田島,4980,福岡県福岡市城南区田島１-4-18,地下鉄七隈線「別府」徒歩13分,91.98,3LDK+S（納戸）,2005年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_21046422/,別府,地下鉄七隈線,13,2005-03-01,21,21046422
オープンレジデンシア天神今泉,4999,福岡県福岡市中央区今泉２,地下鉄七隈線「薬院大通」徒歩6分,46.28,2LDK,2023年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20711534/,薬院大通,地下鉄七隈線,6,2023-09-01,3,20711534
ロイヤルマンション別府,5090,福岡県福岡市城南区別府３-1-11,地下鉄七隈線「別府」徒歩1分,81.0,3LDK,1986年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_21182601/,別府,地下鉄七隈線,1,1986-04-01,40,21182601
グランドメゾン鳥飼,5180,福岡県福岡市城南区鳥飼６,地下鉄七隈線「別府」徒歩10分,72.93,3LDK,2000年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_20741683/,別府,地下鉄七隈線,10,2000-01-01,26,20741683
オープンレジデンシア博多住吉,5280,福岡県福岡市博多区住吉２,地下鉄七隈線「櫛田神社前」徒歩5分,51.18,2LDK,2023年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20734997/,櫛田神社前,地下鉄七隈線,5,2023-09-01,3,20734997
