name,price,age,line,station_name,minutes,layout,area,address,url
室見団地9号棟,1850,49,地下鉄空港線,室見,14,2LDK,66.38,福岡県福岡市早良区南庄４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74644886/
鳥飼リバーハイツ,1870,45,地下鉄空港線,西新,16,2LDK,71.91,福岡県福岡市城南区鳥飼４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74969731/
鳥飼リバーハイツ,1870,45,地下鉄空港線,西新,14,2LDK,71.91,福岡県福岡市城南区鳥飼４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_73890954/
グランピア吉塚Ⅱ,1880,40,地下鉄空港線,東比恵,20,3LDK,57.33,福岡県福岡市博多区吉塚２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74974755/
ニューライフ天神,1890,41,地下鉄空港線,天神,8,3LDK,60.78,福岡県福岡市中央区天神４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74639746/
朝日プラザ赤坂II,1980,41,地下鉄空港線,赤坂,10,1LDK,45.41,福岡県福岡市中央区赤坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74559113/
東峰マンション上山門,1999,35,地下鉄空港線,姪浜,31,3LDK,77.05,福岡県福岡市西区上山門１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_73796411/
ライオンズマンション愛宕,1999,41,地下鉄空港線,室見,7,3LDK,65.74,福岡県福岡市西区愛宕２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_71876720/
東峰マンション上山門,1999,35,地下鉄空港線,姪浜,30,3LDK,77.05,福岡県福岡市西区上山門１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_72870644/
東峰マンション博多駅東,2080,39,地下鉄空港線,東比恵,5,2LDK,51.4,福岡県福岡市博多区比恵町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74503838/
グランピア呉服町,2090,37,地下鉄空港線,中洲川端,15,1LDK,56.7,福岡県福岡市博多区大博町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74571455/
グランドパレス室見南,2100,35,地下鉄空港線,室見,21,3LDK,67.14,福岡県福岡市早良区小田部７,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_73432042/
西公園ハウス　504号,2100,38,地下鉄空港線,大濠公園,14,3LDK,67.9,福岡県福岡市中央区西公園,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74752159/
ロワールマンション大濠Ⅱ,2170,38,地下鉄空港線,大濠公園,3,1LDK,54.61,福岡県福岡市中央区荒戸２-2-8,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74581383/
東峰マンション大濠,2190,47,地下鉄空港線,唐人町,16,2LDK,72.9,福岡県福岡市中央区鳥飼１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74117230/
ライオンズマンション西公園,2190,45,地下鉄空港線,大濠公園,7,2DK,54.33,福岡県福岡市中央区荒戸２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74398122/
ネオハイツ新室見,2190,39,地下鉄空港線,姪浜,22,3LDK,69.4,福岡県福岡市西区福重４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74444887/
ネオハイツ新室見,2190,39,地下鉄空港線,姪浜,22,3LDK,69.4,福岡県福岡市西区福重４-14－22,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74440355/
コアマンション博多ステーションプラザ,2198,29,ＪＲ鹿児島本線,博多,14,3LDK,64.25,福岡県福岡市博多区堅粕４-16-18,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74692876/
西公園ハウス,2280,38,地下鉄空港線,大濠公園,15,3LDK,65.81,福岡県福岡市中央区西公園,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74713005/
藤和西新コープ,2280,47,地下鉄空港線,西新,7,2LDK+S（納戸）,77.66,福岡県福岡市早良区城西２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74400768/
アンピール第五新室見,2280,33,地下鉄空港線,姪浜,24,3LDK,63.78,福岡県福岡市西区福重３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74951939/
藤和西新コープ,2280,47,地下鉄空港線,西新,6,2LDK+S（納戸）,77.66,福岡県福岡市早良区城西２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_73952356/
エバーライフ住吉,2280,39,地下鉄空港線,博多,13,2DK,48.6,福岡県福岡市博多区住吉４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74971466/
グランピア荒江　中古マンション,2290,44,地下鉄空港線,西新,17,3LDK,80.77,福岡県福岡市早良区荒江２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74316026/
グリーンマンション姪浜,2290,42,地下鉄空港線,姪浜,10,3LDK,69.66,福岡県福岡市西区姪の浜１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74566115/
エクセレンス祗園,2300,43,地下鉄空港線,祇園,2,3DK,59.94,福岡県福岡市博多区冷泉町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74866260/
エバーライフ東平尾公園A棟,2349,30,地下鉄空港線,福岡空港,13,3LDK,63.23,福岡県福岡市博多区青木１-19-1,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_73556862/
