name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age
ライオンズマンション大濠西,1380,福岡県福岡市中央区鳥飼３-2-10,地下鉄七隈線「別府」徒歩14分,44.79,2DK,1986年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74480218/,別府,地下鉄七隈線,14,1986-01-01,38
笹の台団地,1390,福岡県福岡市城南区長尾２,地下鉄七隈線「桜坂」徒歩35分,75.82,3LDK,1975年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74494952/,桜坂,地下鉄七隈線,35,1975-04-01,49
ロワールマンション荒江,1399,福岡県福岡市早良区荒江２-7-10,地下鉄七隈線「別府」徒歩18分,67.71,3LDK,1982年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74768746/,別府,地下鉄七隈線,18,1982-06-01,42
トピレック博多,1490,福岡県福岡市博多区博多駅南６,ＪＲ鹿児島本線「博多」徒歩22分,52.25,2LDK,1974年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74892270/,博多,ＪＲ鹿児島本線,22,1974-09-01,50
エバーライフ博多駅南,1580,福岡県福岡市博多区半道橋１,山陽新幹線「博多」徒歩28分,71.24,4DK,1986年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74534964/,博多,山陽新幹線,28,1986-07-01,38
パークハイム寺塚,1630,福岡県福岡市南区寺塚２,地下鉄七隈線「薬院大通」徒歩33分,72.23,3LDK,1987年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_74588506/,薬院大通,地下鉄七隈線,33,1987-02-01,37
マンション鳥飼,1680,福岡県福岡市中央区鳥飼１,地下鉄七隈線「別府」徒歩11分,65.54,2LDK,1973年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73270015/,別府,地下鉄七隈線,11,1973-12-01,51
アムール別府Ⅱ,1690,福岡県福岡市城南区別府７,地下鉄七隈線「別府」徒歩10分,64.89,3LDK,1988年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74941834/,別府,地下鉄七隈線,10,1988-07-01,36
笹の台住宅団地　2号棟,1698,福岡県福岡市城南区長尾２,地下鉄七隈線「桜坂」徒歩34分,54.67,2LDK,1974年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74924088/,桜坂,地下鉄七隈線,34,1974-03-01,50
チサンマンション寺塚,1699,福岡県福岡市南区寺塚２,地下鉄七隈線「桜坂」徒歩41分,84.42,4LDK,1985年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_73830517/,桜坂,地下鉄七隈線,41,1985-03-01,39
ローレルハイツ高宮,1710,福岡県福岡市南区大楠３,地下鉄七隈線「薬院」徒歩24分,64.51,2LDK,1973年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_74882349/,薬院,地下鉄七隈線,24,1973-12-01,51
シティライフ博多駅東,1800,福岡県福岡市博多区東光２,ＪＲ鹿児島本線「博多」徒歩16分,60.75,3LDK,1989年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74739226/,博多,ＪＲ鹿児島本線,16,1989-11-01,35
鳥飼リバーハイツ,1870,福岡県福岡市城南区鳥飼４,地下鉄七隈線「別府」徒歩12分,71.91,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74969731/,別府,地下鉄七隈線,12,1979-08-01,45
鳥飼リバーハイツ,1870,福岡県福岡市城南区鳥飼４,地下鉄七隈線「別府」徒歩10分,71.91,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_73890954/,別府,地下鉄七隈線,10,1979-08-01,45
ダイアパレス植物園南、壱番館,1880,福岡県福岡市中央区小笹５,地下鉄七隈線「桜坂」徒歩20分,65.8,3LDK,1988年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74983042/,桜坂,地下鉄七隈線,20,1988-07-01,36
スカイタウン寺塚住宅 25号棟,1890,福岡県福岡市南区寺塚２,地下鉄七隈線「薬院大通」徒歩34分,96.12,4LDK,1980年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_74941780/,薬院大通,地下鉄七隈線,34,1980-08-01,44
小笹コーポ,1900,福岡県福岡市中央区小笹１,地下鉄七隈線「桜坂」徒歩27分,60.41,2LDK,1978年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74573602/,桜坂,地下鉄七隈線,27,1978-10-01,46
シャンボール桜坂,1920,福岡県福岡市中央区古小烏町,地下鉄七隈線「桜坂」徒歩5分,51.93,2LDK,1974年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73369625/,桜坂,地下鉄七隈線,5,1974-05-01,50
東峰マンション・ダーリングヒル友泉亭,1990,福岡県福岡市城南区友泉亭,地下鉄七隈線「別府」徒歩27分,68.2,2LDK,1992年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74161390/,別府,地下鉄七隈線,27,1992-06-01,32
東峰マンション・ダーリングヒル友泉亭,1990,福岡県福岡市城南区友泉亭,地下鉄七隈線「別府」徒歩27分,68.2,2LDK,1992年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_73858406/,別府,地下鉄七隈線,27,1992-06-01,32
東峰マンション・ダーリングヒル友泉亭,1990,福岡県福岡市城南区友泉亭,地下鉄七隈線「別府」徒歩27分,68.2,2LDK,1992年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_73846943/,別府,地下鉄七隈線,27,1992-06-01,32
東峰マンション博多駅東,2080,福岡県福岡市博多区比恵町,ＪＲ鹿児島本線「博多」徒歩13分,51.4,2LDK,1985年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74503838/,博多,ＪＲ鹿児島本線,13,1985-04-01,39
